# time	vrt
150.0	1.1333443126204656e-06
450.0	3.159838570354623e-06
750.0	0.36917102336883545
1050.0	0.5560050010681152
1350.0	0.7517849206924438
1650.0	0.8615306615829468
1950.0	1.1186884641647339
2250.0	1.191927194595337
2550.0	1.395796298980713
2850.0	1.4406530857086182
3150.0	1.5283318758010864
3450.0	1.5307035446166992
3750.0	1.5501288175582886
4050.0	1.5594221353530884
4350.0	1.5737453699111938
4650.0	1.5860539674758911
4950.0	1.5510104894638062
5250.0	1.529869794845581
5550.0	1.5124759674072266
5850.0	1.5019328594207764
6150.0	1.5026311874389648
6450.0	1.5039513111114502
6750.0	1.5019688606262207
7050.0	1.5049139261245728
72150.0	1.559013843536377
72450.0	1.5590300559997559
72750.0	1.5588339567184448
73050.0	1.5587692260742188
73350.0	1.5591187477111816
73650.0	1.5593053102493286
73950.0	1.5589426755905151
74250.0	1.5587844848632812
74550.0	1.5585429668426514
74850.0	1.5585925579071045
75150.0	1.5585745573043823
75450.0	1.5587495565414429
75750.0	1.5588183403015137
76050.0	1.5589414834976196
76350.0	1.55855393409729
76650.0	1.5585767030715942
76950.0	1.558685541152954
77250.0	1.558781385421753
77550.0	1.5585355758666992
77850.0	1.558543086051941
78150.0	1.5586163997650146
78450.0	1.5587084293365479
78750.0	1.5586762428283691
79050.0	1.5586843490600586
144150.0	1.550607442855835
144450.0	1.5504766702651978
144750.0	1.550266146659851
145050.0	1.5503144264221191
145350.0	1.5505717992782593
145650.0	1.5508772134780884
145950.0	1.5508445501327515
146250.0	1.5507692098617554
146550.0	1.5505073070526123
146850.0	1.5502755641937256
147150.0	1.5498265027999878
147450.0	1.549748420715332
147750.0	1.5494964122772217
148050.0	1.5495022535324097
148350.0	1.5494226217269897
148650.0	1.5494495630264282
148950.0	1.5493102073669434
149250.0	1.549302577972412
149550.0	1.5495330095291138
149850.0	1.549581527709961
150150.0	1.5495307445526123
150450.0	1.5494996309280396
150750.0	1.5495097637176514
151050.0	1.5494765043258667
216150.0	1.549499750137329
216450.0	1.54945969581604
216750.0	1.5494942665100098
217050.0	1.5496271848678589
217350.0	1.5495316982269287
217650.0	1.549542784690857
217950.0	1.5495003461837769
218250.0	1.5495494604110718
218550.0	1.5495017766952515
218850.0	1.5494275093078613
219150.0	1.5494593381881714
219450.0	1.549324870109558
219750.0	1.5491888523101807
220050.0	1.5490493774414062
220350.0	1.5489698648452759
220650.0	1.5490682125091553
220950.0	1.5488293170928955
221250.0	1.5487252473831177
221550.0	1.548842430114746
221850.0	1.5490888357162476
222150.0	1.5489141941070557
222450.0	1.5489482879638672
222750.0	1.5494393110275269
223050.0	1.5495933294296265
288150.0	1.55168879032135
288450.0	1.5517573356628418
288750.0	1.5518280267715454
289050.0	1.5518637895584106
289350.0	1.5521135330200195
289650.0	1.5522816181182861
289950.0	1.5523386001586914
290250.0	1.5522557497024536
290550.0	1.552424669265747
290850.0	1.5525972843170166
291150.0	1.552168369293213
291450.0	1.552053689956665
291750.0	1.5520122051239014
292050.0	1.5520989894866943
292350.0	1.5522161722183228
292650.0	1.5522422790527344
292950.0	1.5523841381072998
293250.0	1.5523754358291626
293550.0	1.552366018295288
293850.0	1.5523383617401123
294150.0	1.5523486137390137
294450.0	1.5523960590362549
294750.0	1.5522290468215942
295050.0	1.5523066520690918
360150.0	1.5529032945632935
360450.0	1.5528349876403809
360750.0	1.552703857421875
361050.0	1.5527266263961792
361350.0	1.5526334047317505
361650.0	1.552698016166687
361950.0	1.5525615215301514
362250.0	1.5526243448257446
362550.0	1.5528382062911987
362850.0	1.5529837608337402
363150.0	1.5533562898635864
363450.0	1.5535131692886353
363750.0	1.55348801612854
364050.0	1.5534425973892212
364350.0	1.5533936023712158
364650.0	1.5534864664077759
364950.0	1.5534143447875977
365250.0	1.5534309148788452
365550.0	1.5533348321914673
365850.0	1.5533647537231445
366150.0	1.5534926652908325
366450.0	1.5534690618515015
366750.0	1.5534926652908325
367050.0	1.5534322261810303
432150.0	1.5506941080093384
432450.0	1.5507187843322754
432750.0	1.5508294105529785
433050.0	1.55085289478302
